"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_3.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","diff_filter","alternative_formula","Sample1_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3552.csv","Sample2_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3560.csv","Sample3_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A1_1-1-14_1_3568.csv","Sample4_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3554.csv","Sample5_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3562.csv","Sample6_masslistsMGC2102290_LSt_MALSt_FT-ICR-MS_PB-A2_1-1-15_1_3570.csv","Sample7_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3454.csv","Sample8_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3462.csv","Sample9_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B1_1-1-2_1_3470.csv","Sample10_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3456.csv","Sample11_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3464.csv","Sample12_masslistsMGC2102291_LSt_MALSt_FT-ICR-MS_PB-B2_1-1-3_1_3592.csv","Sample13_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3458.csv","Sample14_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3466.csv","Sample15_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-1_1-1-4_1_3474.csv","Sample16_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3478.csv","Sample17_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3486.csv","Sample18_masslistsMGC2102294_LSt_MALSt_FT-ICR-MS_STD-2_1-1-5_1_3494.csv","Sample19_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3556.csv","Sample20_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3564.csv","Sample21_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-1_1-1-16_1_3572.csv","Sample22_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3576.csv","Sample23_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3582.csv","Sample24_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-2_1-1-17_1_3588.csv","Sample25_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3578.csv","Sample26_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3584.csv","Sample27_masslistsMGC2102296_LSt_MALSt_FT-ICR-MS_Alc-3_1-1-18_1_3590.csv","Sample28_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S1_1-1-6_1_3480.csv","Sample29_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S1_1-1-6_1_3488.csv","Sample30_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S1_1-1-6_1_3496.csv","Sample31_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S2_1-1-7_1_3482.csv","Sample32_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S2_1-1-7_1_3490.csv","Sample33_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S2_1-1-7_1_3498.csv","Sample34_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S3_1-1-8_1_3502.csv","Sample35_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S3_1-1-8_1_3510.csv","Sample36_masslistsMGC2102300_LSt_MALSt_FT-ICR-MS_AE-S3_1-1-8_1_3518.csv","Sample37_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-1_1-1-9_1_3504.csv","Sample38_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-1_1-1-9_1_3512.csv","Sample39_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-1_1-1-9_1_3520.csv","Sample40_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-2_1-1-10_1_3506.csv","Sample41_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-2_1-1-10_1_3514.csv","Sample42_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-2_1-1-10_1_3522.csv","Sample43_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-3_1-1-11_1_3528.csv","Sample44_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-3_1-1-11_1_3536.csv","Sample45_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-3_1-1-11_1_3544.csv","Sample46_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-4_1-1-12_1_3530.csv","Sample47_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-4_1-1-12_1_3538.csv","Sample48_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-4_1-1-12_1_3546.csv","Sample49_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-5_1-1-13_1_3532.csv","Sample50_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-5_1-1-13_1_3540.csv","Sample51_masslistsMGC2102301_LSt_MALSt_FT-ICR-MS_AE-5_1-1-13_1_3548.csv","Sample52_masslistsNelha35_01_1-1-35_1_3586.csv","Sample53_masslistsNelha36_03_1-1-36_1_3580.csv","Sample54_masslistsNelha54_01_1-1-54_1_3598.csv","Sample55_masslistsNelha54_03_1-1-54_1_3608.csv"
0,101.024418824741,0.0137114,102.031693857,"C_4 H_6 O_3","C4H6O3","C_4 H_5 O_3",19,4,1.5,0.75,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507886.97240174,2126519.5,101.024418744863,0.0676591270601683,10,0,0.2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643860,NA,2811937,NA,3780100,NA,NA,NA,2732384,NA,NA,NA,NA,2939012,NA,2845406,2573329,NA,NA,NA,2719101,NA,2860261,3022056,NA
0,104.035309878669,0.0623652,105.042592861,"C_3 H_7 O_3 N_1","C3H7NO3","C_3 H_6 O_3 N_1",1,3,2.333,1,3,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509066.86888794,2010705.33333333,104.035310202144,0.208907329367777,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2574886,2640573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4443161,5096946,5153668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2713821,NA,NA
0,108.045485804491,0.0127186,109.052763623,"C_6 H_7 O_1 N_1","C6H7NO","C_6 H_6 O_1 N_1",3,6,1.167,0.167,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510640.92775405,1882866.52941176,108.04548541372,0.0503320921976495,17,0.5,0.56,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2845952,3215944,3093147,2990552,3918893,4454846,2724995,NA,NA,2511608,NA,NA,NA,3327795,NA,3135302,3832772,2634559,3745994,2885170,4546527,NA,2989051,2981981,NA,NA,NA,NA
0,109.065898187135,0.0908487,110.073164619,"C_7 H_10 O_1","C7H10O","C_7 H_9 O_1",7,7,1.429,0.143,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511034.59674063,1686158.33333333,109.065898369782,0.0656356796857017,6,0.33,0.38,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3244882,2689197,3073367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2536226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2966427,2733202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,111.020003133504,0.0207003,112.027277246,"C_4 H_4 O_2 N_2","C4H4N2O2","C_4 H_3 O_2 N_2",1,4,1,0.5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511822.11990559,1928929.66666667,111.020002696598,0.0529809815929757,9,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2923440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2530580,2874137,4422075,2901355,3089444,NA,3783345,3151122,5272902,NA,NA,NA,NA,NA,NA,NA
0,111.081540668719,0.0221342,112.088814619,"C_7 H_12 O_1","C7H12O","C_7 H_11 O_1",7,7,1.714,0.143,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511822.11990559,1850677.34146341,111.081540556054,0.0380128722148609,41,0.17,0.23,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,FALSE,NA,10057396,9409689,8715591,4196999,3582955,2782014,NA,NA,NA,26452432,28177386,29383426,18223378,16943792,19103320,2784520,NA,NA,16940168,17305410,16724643,7393184,9161514,9124570,NA,3752130,3179295,3351981,3424561,3190532,12703414,13566984,14722456,NA,NA,2531981,5480151,7759424,5778520,11509072,11155605,11969719,NA,NA,2540325,2727341,2522127,3503682,6514909,6305618,6799545,NA,NA,NA,NA
-1,113.02441762665,0.0017627,114.031693857,"C_5 H_6 O_3","C5H6O3","C_5 H_5 O_3",20,5,1.2,0.6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512609.89005749,1733781.26923077,113.024417177825,0.0122859376655755,26,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,13.76,231.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.211248497169,NA,NA,NA,NA,8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20784204,20120780,21005984,18808908,19846044,19637036,64442724,66572752,68935976,65245292,65683928,64569580,20080872,20327470,18737236,24950848,23382580,24565440,31935046,32946338,33317338,47647604,51015652,48597580,2878185,NA,NA,2951019
0,113.097191887665,0.0324264,114.104464619,"C_7 H_14 O_1","C7H14O","C_7 H_13 O_1",4,7,2,0.143,7,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512609.89005749,1737990.90909091,113.097192139447,0.101157170150051,11,0,0.08,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3943269,4251010,4484759,4573610,3181381,3775980,NA,NA,NA,2895262,2522843,NA,2658618,NA,NA,NA,NA,NA,NA,NA,NA,NA,3158808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2748895,NA,NA,NA,NA,NA,NA,NA,NA
-1,114.027774673375,0.0209762,115.035048692,"C_4 H_6 O_3 C13_1","C5H6O3","C_4 H_5 O_3 C13_1",20,5,1.2,0.6,4,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513003.86777774,1859666.81818182,114.027774251863,0.0432325808425313,11,0,0.43,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1.44,231.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.211248497169,NA,NA,NA,NA,8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4663591,4127641,4013814,4185397,3807136,3130675,3111602,NA,NA,NA,NA,NA,NA,2924395,3053733,3148352,NA,3626517,NA,NA,NA,NA
0,115.040068213408,0.0067903,116.047343857,"C_5 H_8 O_3","C5H8O3","C_5 H_7 O_3",19,5,1.6,0.6,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513397.90727378,1933211.95652174,115.040067988892,0.0396289160306008,23,0,0.14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3816732,2819887,3992646,NA,4302725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2874728,NA,3362234,3540957,3264812,3706299,2597995,NA,2763203,3972094,3656809,3357306,2838907,3509186,NA,NA,3012037,NA,4218331,4371507,3510383,NA,4482672,3448541,NA,NA,2575061,NA
0,115.076453965274,0.0099842,116.083729238,"C_6 H_12 O_2","C6H12O2","C_6 H_11 O_2",27,6,2,0.333,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513397.90727378,1756904.46153846,115.076453946736,0.0567887970646319,26,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,FALSE,NA,NA,NA,3068797,NA,NA,NA,2620700,2907279,NA,5685500,6028571,4764205,8775748,8007131,6833027,NA,NA,NA,NA,3884405,3628627,NA,NA,2717448,NA,NA,NA,NA,NA,NA,4114139,2994730,3319992,NA,NA,NA,2901500,2845543,2580088,3364473,2909504,3825133,NA,NA,NA,2674264,3761201,2734061,NA,2552813,3290331,NA,NA,NA,NA
0,117.019335689458,0.0308829,118.026608476,"C_4 H_6 O_4","C4H6O4","C_4 H_5 O_4",21,4,1.5,1,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514186.17163195,1779981.86666667,117.01933534689,0.0697647714674605,15,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2810482,3630271,3400525,2515320,2954236,NA,3282323,NA,3084813,NA,2715482,NA,3064682,NA,2572144,2847090,2934983,NA,2735267,2775680,3287664,NA,NA,NA,NA
0,119.034986202422,0.0346378,120.042258476,"C_4 H_8 O_4","C4H8O4","C_4 H_7 O_4",1,4,2,1,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514974.68320951,1654151.14285714,119.034985391966,0.0994378303089489,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4392342,2873469,3012649,4161943,3523233,NA,NA,NA,NA,NA,NA,NA,NA,NA,2609214,4256146,NA,NA,NA,NA,NA
0,119.050240096288,0.0159007,120.057514619,"C_8 H_8 O_1","C8H8O","C_8 H_7 O_1",2,8,1,0.125,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514974.68320951,1726414.14285714,119.050240347108,0.0655661300236562,21,0.57,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,FALSE,NA,NA,NA,NA,NA,NA,NA,3346263,9053640,5555801,3923505,5309010,NA,10621822,6599949,14016694,2526834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406375,2677661,NA,2758408,3000147,2711008,NA,2628757,NA,NA,2557334,NA,NA,2678771,NA,9530114,NA,NA,9900299,8040284,7849632,NA,NA,NA,NA,NA,NA,NA
0,121.029502003999,0.0065718,122.036779238,"C_7 H_6 O_2","C7H6O2","C_7 H_5 O_2",11,7,0.857,0.286,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515763.442084,1650599.33333333,121.029502044591,0.0167590953389648,51,0.6,0.67,5,1,0,1,0,0,0,0,0,0,0,0,0,0,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,FALSE,NA,5361883,4088002,5629280,6681486,5922307,6522589,19263228,22422380,21091830,25432018,24020468,22404350,26945314,20255918,28755030,NA,3873891,4991214,8227472,9369939,9855150,6416312,5847329,4994270,5012552,5340407,6441418,15933134,15781697,16425239,19687078,19588590,20766076,12844956,14127158,12890017,11635399,12386357,11154236,16822090,16754323,15816399,21511842,15829130,16655661,26169516,25206520,24221760,11260382,13006378,11922593,NA,NA,NA,6415618
0,121.065894183505,0.0491181,122.073164619,"C_8 H_10 O_1","C8H10O","C_8 H_9 O_1",3,8,1.25,0.125,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515763.442084,1578868.85714286,121.065894540159,0.0697207008473715,7,0.43,0.47,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3228149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3701997,NA,NA,NA,NA,NA,NA,NA,2577992,NA,NA,NA,3002504,2528299,2807466,NA,3251519,NA,NA,NA,NA,NA,NA,NA
0,122.061141351613,0.0338023,123.068413623,"C_7 H_9 O_1 N_1","C7H9NO","C_7 H_8 O_1 N_1",3,7,1.286,0.143,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516157.91428182,1669546.3,122.061141198468,0.111564094010747,10,0.4,0.45,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2726634,NA,2876606,NA,NA,NA,NA,NA,NA,NA,3016987,2981988,NA,2775155,2540889,2716671,3244157,NA,NA,NA,2796152,NA,NA,NA,NA,2591960
0,123.045154866817,0.0166059,124.052429238,"C_7 H_8 O_2","C7H8O2","C_7 H_7 O_2",12,7,1.143,0.286,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516552.44833296,1674149,123.045154817116,0.0942163344881188,7,0.4,0.5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2584042,NA,2737738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2747986,NA,2596839,NA,NA,NA,2800664,NA,2543210,2898611
0,123.081536073123,0.0170362,124.088814619,"C_8 H_12 O_1","C8H12O","C_8 H_11 O_1",7,8,1.5,0.125,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516552.44833296,1716741.88235294,123.081536193249,0.0563908943507433,17,0.29,0.33,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426168,3924380,4288675,4072138,3418707,4745724,NA,NA,NA,NA,3037948,NA,2992482,NA,NA,NA,NA,NA,NA,NA,NA,2755657,3763600,2962716,NA,NA,NA,NA,NA,NA,3504110,2876728,3491960,NA,NA,NA,3699793,2872730,NA,NA,NA,3062594,NA,NA,NA,NA
0,124.040404718093,0.0232551,125.047678242,"C_6 H_7 O_2 N_1","C6H7NO2","C_6 H_6 O_2 N_1",9,6,1.167,0.333,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516947.04424713,1537327.5,124.04040446796,0.0946537091700688,6,0.33,0.5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3265731,NA,NA,NA,2899955,2790923,NA,NA,NA,NA,NA,NA,2643985,NA,NA,NA,NA,3173417,NA,3931582,NA,NA,NA,NA,NA,NA,NA
0,125.024420303645,0.0228355,126.031693857,"C_6 H_6 O_3","C6H6O3","C_6 H_5 O_3",13,6,1,0.5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517341.702034,1661038.33333333,125.024420032503,0.0716057636804237,12,0.33,0.56,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2780278,NA,3432255,NA,3271905,2517903,NA,2994458,2574985,NA,NA,NA,NA,NA,NA,2887303,NA,NA,3282841,NA,2567030,3048946,NA,NA,3493664,3926125
0,125.060806767192,0.0314195,126.068079238,"C_7 H_10 O_2","C7H10O2","C_7 H_9 O_2",9,7,1.429,0.286,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517341.702034,1647964.16666667,125.060806923023,0.0469817277917652,12,0.2,0.33,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2874952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2560504,NA,3118794,NA,NA,NA,NA,NA,3152778,3336606,NA,NA,NA,3179994,2548358,2962690,2953800,4199831,3778870,NA,3212528,NA,NA,NA,NA
-1,125.09718761644,0.004528,126.104464619,"C_8 H_14 O_1","C8H14O","C_8 H_13 O_1",7,8,1.75,0.125,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517341.702034,1562044.82352941,125.097187589718,0.0262936078419656,51,0.14,0.2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13.12,-17.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.159971368377,NA,NA,NA,NA,43,FALSE,NA,35380796,34569252,33832636,43507428,43761504,44371516,5699160,6293192,6120774,99090216,103677264,113146960,65732220,70491136,76118952,8326512,7878587,8087107,56229352,57711792,57524232,32161558,32951924,33389620,9766304,10097758,9102637,15805998,12759708,13310067,58826232,62872892,63798472,4389598,3394444,3632893,20340246,18775942,18366088,46583452,46464488,44695084,7750134,6328792,7783557,9526273,7887431,8546198,32063796,33549682,31694830,NA,NA,NA,NA
